age,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
19 years and under,"32,653","32,249","22,164","19,821","19,452","19,914","20,538","20,705","23,389","22,998","15,352","14,564","13,035","12,823","12,997","13,418","13,190","13,063","13,769","13,835","13,280","13,342","14,152","14,866","15,287","15,349","17,075","18,558","19,556","19,863","17,628","14,283","11,615","9,659","8,088","7,436","7,011","6,488","5,723","4,601","3,197"
20-24,"29,108","30,431","20,406","20,621","20,671","20,108","20,953","21,709","24,937","25,969","20,667","21,156","20,094","19,646","19,139","18,859","17,647","16,181","16,077","15,789","15,716","15,605","15,655","16,600","17,318","17,148","18,035","19,739","21,602","23,591","22,990","21,053","19,874","17,886","16,049","14,542","14,528","13,941","12,289","10,756","9,325"
25-29,"15,010","15,544","10,231","10,734","10,741","10,879","11,323","13,162","15,754","17,446","14,262","14,626","13,894","13,841","13,957","14,082","13,690","13,161","13,193","12,798","12,313","11,786","10,967","11,063","11,265","11,101","11,400","12,325","13,274","14,191","13,889","13,309","12,643","12,544","11,860","11,602","12,371","12,675","12,027","11,227","10,404"
30-34,"9,930","10,264","6,386","6,592","6,723","6,802","7,015","7,913","10,050","11,305","9,335","9,949","9,657","10,337","10,467","10,586","10,770","10,328","10,742","10,543","10,147","10,201","9,821","10,078","10,027","9,523","9,353","9,734","10,060","10,404","9,933","9,406","9,119","8,793","8,252","7,997","8,491","8,787","8,711","8,727","8,638"
35-39,"6,541","6,594","4,089","4,257","4,483","4,568","4,790","5,431","6,416","7,285","6,074","6,558","6,233","6,620","6,968","7,257","7,701","7,869","8,463","8,402","8,252","8,434","8,005","8,139","8,440","8,364","8,371","9,120","9,760","9,807","9,284","8,279","7,773","6,980","6,501","6,115","6,197","6,364","6,320","6,290","6,154"
40-44,"4,518","4,774","2,939","3,085","2,891","3,058","3,107","3,421","4,179","4,961","4,027","4,366","4,305","4,363","4,547","4,725","4,942","4,951","5,553","5,627","5,638","6,046","6,027","6,471","6,730","6,613","6,739","7,091","7,793","7,995","7,718","7,446","7,038","6,455","6,051","5,329","5,224","5,105","4,728","4,714","4,484"
45-49,"3,319","3,326","1,922","1,972","1,900","2,050","2,282","2,254","2,792","3,069","2,505","2,671","2,532","2,652","2,779","2,979","3,226","3,236","3,498","3,492","3,629","3,776","3,831","4,016","4,247","4,250","4,453","5,137","5,519","5,875","5,859","5,559","5,324","4,910","4,768","4,128","4,164","4,244","4,110","3,878","3,608"
50-54,"2,668","2,717","1,475","1,530","1,580","1,504","1,433","1,452","1,782","2,033","1,609","1,747","1,691","1,591","1,640","1,723","1,911","1,899","2,082","2,141","2,238","2,293","2,321","2,420","2,505","2,591","2,663","2,840","3,264","3,531","3,534","3,342","3,455","3,350","3,210","2,929","2,907","2,957","2,829","2,801","2,580"
55-59,"1,874","1,929","1,022","1,091","1,077","1,132","1,127","1,140","1,267","1,418",999,"1,022",990,862,911,970,"1,063","1,068","1,175","1,129","1,172","1,265","1,263","1,425","1,464","1,468","1,538","1,582","1,755","1,925","2,013","1,986","1,876","1,891","1,733","1,693","1,688","1,803","1,849","1,824","1,640"
60-64,996,"1,162",609,665,707,698,731,732,872,941,669,735,620,576,545,535,538,525,602,590,618,645,730,761,729,701,740,791,906,"1,065",991,"1,081","1,042","1,013",982,856,893,905,895,"1,009",864
65 years and over,"1,205","1,371",730,758,753,812,862,921,"1,134","1,292",810,929,889,705,652,672,645,628,707,660,563,576,624,652,635,673,669,746,764,787,857,807,856,840,823,705,821,837,861,821,739
Unknown,"22,019","29,447","19,420","12,763","11,894","11,846","9,538","9,252","8,271","6,993","4,827","4,904","5,381","6,737","7,482","6,759","7,109","2,241","1,636","1,326","1,134","1,078","1,128","1,246","1,276","1,365","1,496","1,289","1,253","1,093","1,016",752,676,545,561,424,344,324,339,373,310
